ticker,official_name,cik,name,title
PRU,Prudential Financial,1137774,Andy Sullivan,Chief Executive Officer
PEG,Public Service Enterprise Group,788784,Ralph LaRossa,"President , CEO"
PEG,Public Service Enterprise Group,788784,Daniel Cregg,"EVP , CFO"
PTC,PTC Inc.,857005,Janice Chaffin,chairwoman
PTC,PTC Inc.,857005,Neil Barua,"president , CEO"
PSA,Public Storage,1393311,"Ronald L. Havner, Jr.",chairman
PSA,Public Storage,1393311,"Joseph D. Russell, Jr.",president and CEO
PWR,Quanta Services,1050915,Earl C. Austin Jr.,CEO
QCOM,Qualcomm,804328,Cristiano Amon,CEO
QCOM,Qualcomm,804328,Mark D. McLaughlin,chairman
DGX,Quest Diagnostics,1022079,Jim Davis,CEO
RL,Ralph Lauren Corporation,1037038,Patrice Louvet,president and CEO
RL,Ralph Lauren Corporation,1037038,Ralph Lauren,executive chairman and CCO
RL,Ralph Lauren Corporation,1037038,David Lauren,vice chairman and CIO
RJF,Raymond James Financial,720005,Tom James,chairman emeritus
RJF,Raymond James Financial,720005,Paul Reilly,chairman and CEO
RJF,Raymond James Financial,720005,Paul Shoukry,president
RTX,RTX Corporation,101829,Christopher T. Calio,CEO
RTX,RTX Corporation,101829,Gregory J. Hayes,chairman
REG,Regency Centers,910606,Martin E.,Hap
REG,Regency Centers,910606,Stein Jr.,chairman
REG,Regency Centers,910606,Lisa Palmer,CEO
REG,Regency Centers,910606,Michael J. Mas,CFO
REGN,Regeneron Pharmaceuticals,872589,Leonard Schleifer,CEO
REGN,Regeneron Pharmaceuticals,872589,George Yancopoulos,CSO
RF,Regions Financial Corporation,1281761,Charles D. McCrary,chairman
RF,Regions Financial Corporation,1281761,"John M. Turner, Jr.","president , CEO"
RF,Regions Financial Corporation,1281761,"David J. Turner, Jr.",CFO
RSG,Republic Services,1060391,Jon Vander Ark,President and CEO
RSG,Republic Services,1060391,Brian DelGhiaccio,CFO
RSG,Republic Services,1060391,Gregg Brummer,COO
RSG,Republic Services,1060391,Manuel Kadre,Chairman
RMD,ResMed,943819,Michael Farrell,CEO
RMD,ResMed,943819,Brett Sandercock,CFO
RMD,ResMed,943819,Justin Leong,CPO
RMD,ResMed,943819,Michael Rider,CLO
RMD,ResMed,943819,Katrin Pucknat,CMO
RMD,ResMed,943819,Mike Fliss,CRO
RVTY,Revvity,31791,Prahlad Singh,President and CEO
ROK,Rockwell Automation,1024478,Blake Moret,Chairman and CEO
ROL,"Rollins, Inc.",84839,John F. Wilson,chairman
ROL,"Rollins, Inc.",84839,Gary Rollins,chairman emeritus
ROL,"Rollins, Inc.",84839,"Jerry E. Gahlhoff, Jr.",CEO
ROP,Roper Technologies,882835,Neil Hunn,president & CEO
ROP,Roper Technologies,882835,Amy Woods Brinkley,chair
ROST,Ross Stores,745732,James Conroy,CEO
ROST,Ross Stores,745732,K. Gunnar Bjorklund,executive chairman
ROST,Ross Stores,745732,Michael Balmuth,president
ROST,Ross Stores,745732,Michael J. Hartshorn,COO
RCL,Royal Caribbean Group,884887,Jason Liberty,president & CEO
RCL,Royal Caribbean Group,884887,Naftali Holtz,CFO
SPGI,S&P Global,64040,Martina Cheung,president & CEO
CRM,Salesforce,1108524,Marc Benioff,Chairman & CEO
SLB,Schlumberger,87347,Olivier Le Peuch,CEO
SLB,Schlumberger,87347,James Hackett,chairman
STX,Seagate Technology,1137789,Michael R. Cannon,chairman
STX,Seagate Technology,1137789,Dave Mosley,CEO
SRE,Sempra,1032208,Jeffrey W. Martin,chairman and CEO
NOW,ServiceNow,1373715,Bill McDermott,CEO
NOW,ServiceNow,1373715,Fred Luddy,chairman
SHW,Sherwin-Williams,89800,John G. Morikis,Executive Chairman
SHW,Sherwin-Williams,89800,Heidi G. Petz,president and CEO
SHW,Sherwin-Williams,89800,Allen J. Mistysyn,SVP and CFO
SPG,Simon Property Group,1063761,David E. Simon,chairman & CEO
SPG,Simon Property Group,1063761,Herbert Simon,chairman emeritus
SWKS,Skyworks Solutions,4127,Philip Brace,President & CEO
SWKS,Skyworks Solutions,4127,Robert Schriesheim,CFO
SJM,J.M. Smucker Company (The),91419,Mark Smucker,"chairman , president , and CEO"
SW,Smurfit Westrock,2005951,Anthony Smurfit,President and CEO
SNA,Snap-on,91440,Nicholas T. Pinchuk,Chairman & CEO
SNA,Snap-on,91440,Aldo J. Pagliari,CFO
SOLV,Solventum,1964738,Bryan Hanson,CEO
SO,Southern Company,92122,Chris Womack,"chairman , president , & CEO"
SO,Southern Company,92122,Daniel,Dan
SO,Southern Company,92122,Tucker,EVP & CFO
LUV,Southwest Airlines,92380,Bob Jordan,president and CEO
LUV,Southwest Airlines,92380,Rakesh Gangwal,chairman of the Board
SWK,Stanley Black & Decker,93556,Andrea J. Ayers,Chairman
SWK,Stanley Black & Decker,93556,Don Allan,President & CEO
SBUX,Starbucks,829224,Howard Schultz,chairman emeritus
SBUX,Starbucks,829224,Brian Niccol,chairman and CEO
STT,State Street Corporation,93751,Ronald P. O’Hanley,chairman & CEO
STLD,Steel Dynamics,1022671,Mark D. Millett,president & CEO
STLD,Steel Dynamics,1022671,Theresa E. Wagler,CFO
STE,Steris,1757898,Daniel A. Carestio,President and CEO
SYK,Stryker Corporation,310764,Kevin A. Lobo,Chairman and CEO
SYK,Stryker Corporation,310764,Timothy J. Scannell,President and COO
SMCI,Supermicro,1375365,Charles Liang,"chairman , president and CEO"
SMCI,Supermicro,1375365,David Weigand,CFO
SMCI,Supermicro,1375365,Don Clegg,SVP of Worldwide Sales
SMCI,Supermicro,1375365,George Kao,SVP of Operations
SYF,Synchrony Financial,1601712,Margaret M. Keane,Executive Chairman
SYF,Synchrony Financial,1601712,Brian Doubles,CEO
SNPS,Synopsys,883241,Aart de Geus,chairman
SNPS,Synopsys,883241,Sassine Ghazi,president & CEO
SYY,Sysco,96021,Kevin Hourican,chairman and CEO
TMUS,T-Mobile US,1283699,Timotheus Höttges,chairman
TMUS,T-Mobile US,1283699,Mike Sievert,president and CEO
TROW,T. Rowe Price,1113169,Rob Sharps,"chairman , president & CEO"
TTWO,Take-Two Interactive,946581,Strauss Zelnick,chairman and CEO
TTWO,Take-Two Interactive,946581,Karl Slatoff,president
TTWO,Take-Two Interactive,946581,Lainie Goldstein,CFO
TPR,"Tapestry, Inc.",1116132,Joanne Crevoiserat,CEO
TPR,"Tapestry, Inc.",1116132,Scott Roe,CFO
TRGP,Targa Resources,1389170,Matthew J. Meloy,CEO
TGT,Target Corporation,27419,Brian C. Cornell,chairman and CEO
TEL,TE Connectivity,1385157,Terrence Curtin,CEO
TDY,Teledyne Technologies,1094285,Robert Mehrabian,Executive Chairman
TDY,Teledyne Technologies,1094285,Edwin Roks,CEO
TSLA,"Tesla, Inc.",1318605,Elon Musk,CEO
TSLA,"Tesla, Inc.",1318605,Robyn Denholm,chair
TXN,Texas Instruments,97476,Haviv Ilan,"chairman , president , CEO"
TXN,Texas Instruments,97476,Ahmad Bahai,CTO
TPL,Texas Pacific Land Corporation,1811074,Tyler Glover,CEO & President
TPL,Texas Pacific Land Corporation,1811074,Chris Steddum,CFO
TXT,Textron,217346,Scott C. Donnelly,"CEO , chairman & president"
TMO,Thermo Fisher Scientific,97745,Marc N. Casper,"chairman , president & CEO"
TMO,Thermo Fisher Scientific,97745,Michel Lagarde,COO
TMO,Thermo Fisher Scientific,97745,Ryan Snyder,CIO
TJX,TJX Companies,109198,Carol Meyrowitz,executive chairman
TJX,TJX Companies,109198,Ernie Herrman,"president , CEO"
TJX,TJX Companies,109198,John Klinger,CFO
TKO,TKO Group Holdings,1973266,Ari Emanuel,CEO and executive chairman
TKO,TKO Group Holdings,1973266,Mark Shapiro,president and COO
TSCO,Tractor Supply,916365,Hal Lawton,president and CEO
TT,Trane Technologies,1466258,Dave Regnery,"chairman, president & CEO"
TDG,TransDigm Group,1260221,Kevin Stein,President & CEO
TDG,TransDigm Group,1260221,W. Nicholas Howley,Chairman
TRV,Travelers Companies (The),86312,Alan D. Schnitzer,Chairman and CEO
TRMB,Trimble Inc.,864749,Börje Ekholm,chairman
TRMB,Trimble Inc.,864749,Robert Painter,CEO
TRMB,Trimble Inc.,864749,David G. Barnes,CFO
TFC,Truist Financial,92230,William H. Rogers Jr.,Chairman & CEO
TFC,Truist Financial,92230,Michael Maguire,CFO
TSN,Tyson Foods,100493,John H. Tyson,chairman
TSN,Tyson Foods,100493,Donnie King,CEO
USB,U.S. Bancorp,36104,Andrew Cecere,chairman
UBER,Uber,1543151,Ronald Sugar,chairman
UBER,Uber,1543151,Dara Khosrowshahi,CEO
ULTA,Ulta Beauty,1403568,Kecia Steelman,CEO
UNP,Union Pacific Corporation,100885,Jim Vena,CEO
UNP,Union Pacific Corporation,100885,Beth Whited,president
UNP,Union Pacific Corporation,100885,Mike McCarthy,chairman
UAL,United Airlines Holdings,100517,Scott Kirby,CEO
UAL,United Airlines Holdings,100517,Edward Philip,chairman
UAL,United Airlines Holdings,100517,Brett Hart,president
UPS,United Parcel Service,1090727,Carol B. Tomé,CEO
UPS,United Parcel Service,1090727,William R. Johnson,chairman
URI,United Rentals,1067701,Michael Kneeland,chairman
URI,United Rentals,1067701,Matthew Flannery,CEO
URI,United Rentals,1067701,Michael Durand,COO
URI,United Rentals,1067701,Ted Grace,CFO
UNH,UnitedHealth Group,731766,Stephen J. Hemsley,chairman & CEO
UNH,UnitedHealth Group,731766,John Rex,"president , CFO"
UNH,UnitedHealth Group,731766,Tim Noel,CEO of UnitedHealthCare
