ticker,official_name,cik,exec1,exec2,exec3,exec4,exec5
BAC,Bank of America,70858,,,,,
BAX,Baxter International,10456,,,,,
BDX,Becton Dickinson,10795,,,,,
BRK.B,Berkshire Hathaway,1067983,,,,,
BBY,Best Buy,764478,,,,,
TECH,Bio-Techne,842023,,,,,
BIIB,Biogen,875045,,,,,
BLK,BlackRock,2012383,,,,,
BX,Blackstone Inc.,1393818,,,,,
BK,BNY Mellon,1390777,,,,,
BA,Boeing,12927,,,,,
BKNG,Booking Holdings,1075531,,,,,
BSX,Boston Scientific,885725,,,,,
BMY,Bristol Myers Squibb,14272,,,,,
AVGO,Broadcom,1730168,,,,,
BR,Broadridge Financial Solutions,1383312,,,,,
BRO,Brown & Brown,79282,,,,,
BF.B,Brown–Forman,14693,,,,,
BLDR,Builders FirstSource,1316835,,,,,
BG,Bunge Global,1996862,,,,,
BXP,"BXP, Inc.",1037540,,,,,
CHRW,C.H. Robinson,1043277,,,,,
CDNS,Cadence Design Systems,813672,,,,,
CZR,Caesars Entertainment,1590895,,,,,
CPT,Camden Property Trust,906345,,,,,
CPB,Campbell's Company (The),16732,,,,,
COF,Capital One,927628,,,,,
CAH,Cardinal Health,721371,,,,,
KMX,CarMax,1170010,,,,,
CCL,Carnival,815097,,,,,
CARR,Carrier Global,1783180,,,,,
CAT,Caterpillar Inc.,18230,,,,,
CBOE,Cboe Global Markets,1374310,,,,,
CBRE,CBRE Group,1138118,,,,,
CDW,CDW Corporation,1402057,,,,,
COR,Cencora,1140859,,,,,
CNC,Centene Corporation,1071739,,,,,
CNP,CenterPoint Energy,1130310,,,,,
CF,CF Industries,1324404,,,,,
CRL,Charles River Laboratories,1100682,,,,,
SCHW,Charles Schwab Corporation,316709,,,,,
CHTR,Charter Communications,1091667,,,,,
CVX,Chevron Corporation,93410,,,,,
CMG,Chipotle Mexican Grill,1058090,,,,,
CB,Chubb Limited,896159,,,,,
CHD,Church & Dwight,313927,,,,,
CI,Cigna,1739940,,,,,
CINF,Cincinnati Financial,20286,,,,,
CTAS,Cintas,723254,,,,,
CSCO,Cisco,858877,,,,,
C,Citigroup,831001,,,,,
CFG,Citizens Financial Group,759944,,,,,
CLX,Clorox,21076,,,,,
CME,CME Group,1156375,,,,,
CMS,CMS Energy,811156,,,,,
KO,Coca-Cola Company (The),21344,,,,,
CTSH,Cognizant,1058290,,,,,
COIN,Coinbase,1679788,,,,,
CL,Colgate-Palmolive,21665,,,,,
CMCSA,Comcast,1166691,,,,,
CAG,Conagra Brands,23217,,,,,
COP,ConocoPhillips,1163165,,,,,
ED,Consolidated Edison,1047862,,,,,
STZ,Constellation Brands,16918,,,,,
CEG,Constellation Energy,1868275,,,,,
COO,Cooper Companies (The),711404,,,,,
CPRT,Copart,900075,,,,,
GLW,Corning Inc.,24741,,,,,
CPAY,Corpay,1175454,,,,,
CTVA,Corteva,1755672,,,,,
CSGP,CoStar Group,1057352,,,,,
COST,Costco,909832,,,,,
CTRA,Coterra,858470,,,,,
CRWD,CrowdStrike,1535527,,,,,
CCI,Crown Castle,1051470,,,,,
CSX,CSX Corporation,277948,,,,,
CMI,Cummins,26172,,,,,
CVS,CVS Health,64803,,,,,
DHR,Danaher Corporation,313616,,,,,
DRI,Darden Restaurants,940944,,,,,
DVA,DaVita,927066,,,,,
DAY,Dayforce,1725057,,,,,
DECK,Deckers Brands,910521,,,,,
DE,Deere & Company,315189,,,,,
DELL,Dell Technologies,1571996,,,,,
DAL,Delta Air Lines,27904,,,,,
DVN,Devon Energy,1090012,,,,,
DXCM,Dexcom,1093557,,,,,
FANG,Diamondback Energy,1539838,,,,,
DLR,Digital Realty,1297996,,,,,
DG,Dollar General,29534,,,,,
DLTR,Dollar Tree,935703,,,,,
D,Dominion Energy,715957,,,,,
DPZ,Domino's,1286681,,,,,
DASH,DoorDash,1792789,,,,,
DOV,Dover Corporation,29905,,,,,
DOW,Dow Inc.,1751788,,,,,
DHI,D. R. Horton,882184,,,,,
DTE,DTE Energy,936340,,,,,
DUK,Duke Energy,1326160,,,,,
DD,DuPont,1666700,,,,,
EMN,Eastman Chemical Company,915389,,,,,
ETN,Eaton Corporation,1551182,,,,,
EBAY,eBay Inc.,1065088,,,,,
ECL,Ecolab,31462,,,,,
EIX,Edison International,827052,,,,,
EW,Edwards Lifesciences,1099800,,,,,
EA,Electronic Arts,712515,,,,,
ELV,Elevance Health,1156039,,,,,
EMR,Emerson Electric,32604,,,,,
ENPH,Enphase Energy,1463101,,,,,
ETR,Entergy,65984,,,,,
EOG,EOG Resources,821189,,,,,
EPAM,EPAM Systems,1352010,,,,,
EQT,EQT Corporation,33213,,,,,
EFX,Equifax,33185,,,,,
EQIX,Equinix,1101239,,,,,
EQR,Equity Residential,906107,,,,,
ERIE,Erie Indemnity,922621,,,,,
ESS,Essex Property Trust,920522,,,,,
EL,Estée Lauder Companies (The),1001250,,,,,
EG,Everest Group,1095073,,,,,
EVRG,Evergy,1711269,,,,,
ES,Eversource Energy,72741,,,,,
EXC,Exelon,1109357,,,,,
EXE,Expand Energy,895126,,,,,
EXPE,Expedia Group,1324424,,,,,
EXPD,Expeditors International,746515,,,,,
EXR,Extra Space Storage,1289490,,,,,
XOM,ExxonMobil,34088,,,,,
FFIV,"F5, Inc.",1048695,,,,,
FDS,FactSet,1013237,,,,,
FICO,Fair Isaac,814547,,,,,
FAST,Fastenal,815556,,,,,
FRT,Federal Realty Investment Trust,34903,,,,,
FDX,FedEx,1048911,,,,,
FIS,Fidelity National Information Services,1136893,,,,,
FITB,Fifth Third Bancorp,35527,,,,,
FSLR,First Solar,1274494,,,,,
FE,FirstEnergy,1031296,,,,,
FI,Fiserv,798354,,,,,
F,Ford Motor Company,37996,,,,,
FTNT,Fortinet,1262039,,,,,
FTV,Fortive,1659166,,,,,
FOXA,Fox Corporation (Class A),1754301,,,,,
FOX,Fox Corporation (Class B),1754301,,,,,
BEN,Franklin Resources,38777,,,,,
FCX,Freeport-McMoRan,831259,,,,,
GRMN,Garmin,1121788,,,,,
IT,Gartner,749251,,,,,
GE,GE Aerospace,40545,,,,,
GEHC,GE HealthCare,1932393,,,,,
GEV,GE Vernova,1996810,,,,,
GEN,Gen Digital,849399,,,,,
GNRC,Generac,1474735,,,,,
GD,General Dynamics,40533,,,,,
GIS,General Mills,40704,,,,,
GM,General Motors,1467858,,,,,
GPC,Genuine Parts Company,40987,,,,,
GILD,Gilead Sciences,882095,,,,,
GPN,Global Payments,1123360,,,,,
GL,Globe Life,320335,,,,,
GDDY,GoDaddy,1609711,,,,,
GS,Goldman Sachs,886982,,,,,
HAL,Halliburton,45012,,,,,
HIG,Hartford (The),874766,,,,,
HAS,Hasbro,46080,,,,,
HCA,HCA Healthcare,860730,,,,,
DOC,Healthpeak Properties,765880,,,,,
HSIC,Henry Schein,1000228,,,,,
HSY,Hershey Company (The),47111,,,,,
HES,Hess Corporation,4447,,,,,
HPE,Hewlett Packard Enterprise,1645590,,,,,
HLT,Hilton Worldwide,1585689,,,,,
HOLX,Hologic,859737,,,,,
HD,Home Depot (The),354950,,,,,
HON,Honeywell,773840,,,,,
HRL,Hormel Foods,48465,,,,,
HST,Host Hotels & Resorts,1070750,,,,,
HWM,Howmet Aerospace,4281,,,,,
HPQ,HP Inc.,47217,,,,,
HUBB,Hubbell Incorporated,48898,,,,,
HUM,Humana,49071,,,,,
HBAN,Huntington Bancshares,49196,,,,,
HII,Huntington Ingalls Industries,1501585,,,,,
IBM,IBM,51143,,,,,
IEX,IDEX Corporation,832101,,,,,
IDXX,Idexx Laboratories,874716,,,,,
ITW,Illinois Tool Works,49826,,,,,
INCY,Incyte,879169,,,,,
IR,Ingersoll Rand,1699150,,,,,
PODD,Insulet Corporation,1145197,,,,,
INTC,Intel,50863,,,,,
ICE,Intercontinental Exchange,1571949,,,,,
IFF,International Flavors & Fragrances,51253,,,,,
IP,International Paper,51434,,,,,
IPG,Interpublic Group of Companies (The),51644,,,,,
INTU,Intuit,896878,,,,,
ISRG,Intuitive Surgical,1035267,,,,,
IVZ,Invesco,914208,,,,,
INVH,Invitation Homes,1687229,,,,,
IQV,IQVIA,1478242,,,,,
IRM,Iron Mountain,1020569,,,,,
JBHT,J.B. Hunt,728535,,,,,
JBL,Jabil,898293,,,,,
JKHY,Jack Henry & Associates,779152,,,,,
J,Jacobs Solutions,52988,,,,,
JNJ,Johnson & Johnson,200406,,,,,
JCI,Johnson Controls,833444,,,,,
JPM,JPMorgan Chase,19617,,,,,
JNPR,Juniper Networks,1043604,,,,,
K,Kellanova,55067,,,,,
KVUE,Kenvue,1944048,,,,,
KDP,Keurig Dr Pepper,1418135,,,,,
KEY,KeyCorp,91576,,,,,
KEYS,Keysight Technologies,1601046,,,,,
KMB,Kimberly-Clark,55785,,,,,
KIM,Kimco Realty,879101,,,,,
KMI,Kinder Morgan,1506307,,,,,
KKR,KKR & Co.,1404912,,,,,
KLAC,KLA Corporation,319201,,,,,
KHC,Kraft Heinz,1637459,,,,,
KR,Kroger,56873,,,,,
LHX,L3Harris,202058,,,,,
LH,Labcorp,920148,,,,,
LRCX,Lam Research,707549,,,,,
LW,Lamb Weston,1679273,,,,,
LVS,Las Vegas Sands,1300514,,,,,
LDOS,Leidos,1336920,,,,,
LEN,Lennar,920760,,,,,
LII,Lennox International,1069202,,,,,
LLY,Lilly (Eli),59478,,,,,
LIN,Linde plc,1707925,,,,,
LYV,Live Nation Entertainment,1335258,,,,,
LKQ,LKQ Corporation,1065696,,,,,
LMT,Lockheed Martin,936468,,,,,
L,Loews Corporation,60086,,,,,
LOW,Lowe's,60667,,,,,
LULU,Lululemon Athletica,1397187,,,,,
LYB,LyondellBasell,1489393,,,,,
MTB,M&T Bank,36270,,,,,
MPC,Marathon Petroleum,1510295,,,,,
MKTX,MarketAxess,1278021,,,,,
MAR,Marriott International,1048286,,,,,
MMC,Marsh McLennan,62709,,,,,
MLM,Martin Marietta Materials,916076,,,,,
MAS,Masco,62996,,,,,
MA,Mastercard,1141391,,,,,
MTCH,Match Group,891103,,,,,
MKC,McCormick & Company,63754,,,,,
MCD,McDonald's,63908,,,,,
MCK,McKesson Corporation,927653,,,,,
MDT,Medtronic,1613103,,,,,
MRK,Merck & Co.,310158,,,,,
META,Meta Platforms,1326801,,,,,
MET,MetLife,1099219,,,,,
MTD,Mettler Toledo,1037646,,,,,
MGM,MGM Resorts,789570,,,,,
MCHP,Microchip Technology,827054,,,,,
MU,Micron Technology,723125,,,,,
MSFT,Microsoft,789019,,,,,
MAA,Mid-America Apartment Communities,912595,,,,,
MRNA,Moderna,1682852,,,,,
MHK,Mohawk Industries,851968,,,,,
MOH,Molina Healthcare,1179929,,,,,
TAP,Molson Coors Beverage Company,24545,,,,,
MDLZ,Mondelez International,1103982,,,,,
MPWR,Monolithic Power Systems,1280452,,,,,
MNST,Monster Beverage,865752,,,,,
MCO,Moody's Corporation,1059556,,,,,
MS,Morgan Stanley,895421,,,,,
MOS,Mosaic Company (The),1285785,,,,,
MSI,Motorola Solutions,68505,,,,,
MSCI,MSCI Inc.,1408198,,,,,
NDAQ,"Nasdaq, Inc.",1120193,,,,,
NTAP,NetApp,1002047,,,,,
NFLX,Netflix,1065280,,,,,
NEM,Newmont,1164727,,,,,
NWSA,News Corp (Class A),1564708,,,,,
NWS,News Corp (Class B),1564708,,,,,
NEE,NextEra Energy,753308,,,,,
NKE,"Nike, Inc.",320187,,,,,
NI,NiSource,1111711,,,,,
NDSN,Nordson Corporation,72331,,,,,
NSC,Norfolk Southern,702165,,,,,
NTRS,Northern Trust,73124,,,,,
NOC,Northrop Grumman,1133421,,,,,
NCLH,Norwegian Cruise Line Holdings,1513761,,,,,
NRG,NRG Energy,1013871,,,,,
NUE,Nucor,73309,,,,,
NVDA,Nvidia,1045810,,,,,
NVR,"NVR, Inc.",906163,,,,,
NXPI,NXP Semiconductors,1413447,,,,,
ORLY,O’Reilly Automotive,898173,,,,,
OXY,Occidental Petroleum,797468,,,,,
ODFL,Old Dominion,878927,,,,,
OMC,Omnicom Group,29989,,,,,
ON,ON Semiconductor,1097864,,,,,
OKE,Oneok,1039684,,,,,
ORCL,Oracle Corporation,1341439,,,,,
OTIS,Otis Worldwide,1781335,,,,,
PCAR,Paccar,75362,,,,,
PKG,Packaging Corporation of America,75677,,,,,
PLTR,Palantir Technologies,1321655,,,,,
PANW,Palo Alto Networks,1327567,,,,,
PARA,Paramount Global,813828,,,,,
PH,Parker Hannifin,76334,,,,,
PAYX,Paychex,723531,,,,,
PAYC,Paycom,1590955,,,,,
PYPL,PayPal,1633917,,,,,
PNR,Pentair,77360,,,,,
PEP,PepsiCo,77476,,,,,
PFE,Pfizer,78003,,,,,
PCG,PG&E Corporation,1004980,,,,,
PM,Philip Morris International,1413329,,,,,
PSX,Phillips 66,1534701,,,,,
PNW,Pinnacle West Capital,764622,,,,,
PNC,PNC Financial Services,713676,,,,,
POOL,Pool Corporation,945841,,,,,
PPG,PPG Industries,79879,,,,,
PPL,PPL Corporation,922224,,,,,
PFG,Principal Financial Group,1126328,,,,,
